City_Challenge,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Constitucion,23.99,-104.67,51.8,100,90,9.17,MX,2019-11-12 23:47:00
1,Hilo,19.71,-155.08,84.2,62,20,9.17,US,2019-11-12 23:47:01
2,Mataura,-46.19,168.86,63.0,52,100,23.0,NZ,2019-11-12 23:47:01
3,Ribeira Grande,38.52,-28.7,62.6,90,40,7.92,PT,2019-11-12 23:47:01
4,Busselton,-33.64,115.35,71.01,34,0,11.01,AU,2019-11-12 23:45:45
5,Komsomolskiy,67.55,63.78,-7.1,88,0,5.46,RU,2019-11-12 23:47:02
6,Cape Town,-33.93,18.42,64.99,77,20,17.22,ZA,2019-11-12 23:46:07
7,Kapaa,22.08,-159.32,84.2,74,90,3.47,US,2019-11-12 23:47:02
8,Puerto Ayora,-0.74,-90.35,78.8,61,20,9.17,EC,2019-11-12 23:47:02
9,Cayenne,4.94,-52.33,78.8,88,14,5.35,GF,2019-11-12 23:39:40
10,Albany,42.65,-73.75,24.8,53,20,17.22,US,2019-11-12 23:38:40
11,Brae,60.4,-1.35,33.8,92,98,2.24,GB,2019-11-12 23:42:57
12,Rikitea,-23.12,-134.97,72.48,82,75,24.23,PF,2019-11-12 23:38:44
13,Meulaboh,4.14,96.13,79.29,82,69,5.32,ID,2019-11-12 23:39:08
14,Katsuura,33.93,134.5,55.4,87,20,9.17,JP,2019-11-12 23:41:41
15,Barrow,-38.31,-60.23,64.51,92,100,7.02,AR,2019-11-12 23:38:42
16,Beira,43.2,-8.36,60.01,100,75,10.29,ES,2019-11-12 23:41:36
17,Batemans Bay,-35.71,150.18,64.99,42,0,8.01,AU,2019-11-12 23:42:21
18,Kodiak,39.95,-94.76,24.8,49,1,11.41,US,2019-11-12 23:39:12
19,Sisimiut,66.94,-53.67,25.16,74,95,11.72,GL,2019-11-12 23:44:41
20,Bredasdorp,-34.53,20.04,62.01,87,95,4.7,ZA,2019-11-12 23:38:37
21,Camopi,3.17,-52.33,81.5,56,76,5.3,GF,2019-11-12 23:43:47
22,Ourossogui,15.61,-13.32,78.8,34,0,2.24,SN,2019-11-12 23:47:05
23,Yanam,16.73,82.22,73.96,89,7,4.25,IN,2019-11-12 23:47:06
24,Khandbari,27.38,87.21,44.92,43,4,4.74,NP,2019-11-12 23:47:06
25,Talnakh,69.49,88.39,-2.21,77,79,11.18,RU,2019-11-12 23:42:02
26,Castro,-42.48,-73.76,62.6,72,100,6.93,CL,2019-11-12 23:38:52
27,Mahajanga,-15.72,46.32,80.6,88,20,2.24,MG,2019-11-12 23:47:06
28,Punta Arenas,-53.16,-70.91,55.4,58,75,13.87,CL,2019-11-12 23:38:36
29,Aksu,52.04,76.93,21.2,100,91,6.71,KZ,2019-11-12 23:47:07
30,Hualmay,-11.1,-77.61,63.37,86,10,6.53,PE,2019-11-12 23:40:20
31,Jamestown,-33.21,138.6,59.9,48,57,12.8,AU,2019-11-12 23:38:43
32,Lukovetskiy,64.29,41.92,12.2,100,20,2.24,RU,2019-11-12 23:47:08
33,Bambous Virieux,-20.34,57.76,75.99,88,75,7.05,MU,2019-11-12 23:39:02
34,Upernavik,72.79,-56.15,24.1,57,57,9.6,GL,2019-11-12 23:39:03
35,Georgetown,6.8,-58.16,84.2,79,40,4.7,GY,2019-11-12 23:35:11
36,Hobart,-42.88,147.33,57.99,43,40,16.11,AU,2019-11-12 23:39:07
37,Ushuaia,-54.81,-68.31,51.8,66,75,13.87,AR,2019-11-12 23:36:42
38,Yellowknife,62.45,-114.38,19.4,92,90,6.93,CA,2019-11-12 23:39:04
39,Lompoc,34.64,-120.46,72.0,93,90,5.82,US,2019-11-12 23:39:59
40,Nanortalik,60.14,-45.24,33.46,71,99,35.86,GL,2019-11-12 23:39:28
41,Formosa,-15.55,-47.33,76.19,38,18,4.9,BR,2019-11-12 23:47:10
42,Tessalit,20.2,1.01,63.25,29,0,11.56,ML,2019-11-12 23:42:40
43,Wasilla,61.58,-149.44,41.0,64,1,1.88,US,2019-11-12 23:47:10
44,Babylon,40.7,-73.33,34.0,43,1,16.11,US,2019-11-12 23:44:07
45,Vardo,39.62,-77.74,33.01,63,40,18.34,US,2019-11-12 23:39:38
46,Cherskiy,68.75,161.3,10.96,85,33,3.94,RU,2019-11-12 23:38:36
47,Kudahuvadhoo,2.67,72.89,82.81,75,56,11.21,MV,2019-11-12 23:39:31
48,Flin Flon,54.77,-101.88,14.0,66,75,9.17,CA,2019-11-12 23:41:35
49,Iqaluit,63.75,-68.52,19.4,79,90,19.46,CA,2019-11-12 23:39:48
50,Iwanai,42.97,140.51,45.23,52,7,5.5,JP,2019-11-12 23:47:11
51,Chunskiy,56.08,99.63,8.67,60,100,6.11,RU,2019-11-12 23:47:12
52,Ixtapa,20.71,-105.21,86.0,55,75,8.05,MX,2019-11-12 23:47:12
53,Ponta Do Sol,-20.63,-46.0,67.55,90,72,12.35,BR,2019-11-12 23:38:52
54,Qaanaaq,77.48,-69.36,8.33,56,20,6.85,GL,2019-11-12 23:38:54
55,Kansas City,39.08,-94.56,25.0,53,1,9.4,US,2019-11-12 23:45:28
56,Cam Ranh,11.92,109.15,75.2,94,20,1.12,VN,2019-11-12 23:47:13
57,Berezovyy,51.67,135.7,9.72,46,72,5.37,RU,2019-11-12 23:47:13
58,Tuktoyaktuk,69.44,-133.03,-4.01,76,90,24.16,CA,2019-11-12 23:38:58
59,Basqal,40.75,48.39,32.0,52,13,3.06,AZ,2019-11-12 23:47:13
60,Panlaitan,12.12,119.85,80.6,78,100,4.0,PH,2019-11-12 23:47:13
61,Taoudenni,22.68,-3.98,67.14,25,0,8.84,ML,2019-11-12 23:41:56
62,Thompson,55.74,-97.86,14.0,72,90,2.24,CA,2019-11-12 23:39:29
63,Nikolskoye,59.7,30.79,37.4,81,20,11.18,RU,2019-11-12 23:38:53
64,Vaini,15.34,74.49,65.41,87,0,6.69,IN,2019-11-12 23:38:44
65,San Patricio,-26.98,-56.83,79.47,69,28,3.69,PY,2019-11-12 23:39:53
66,Kajaani,64.22,27.73,24.8,92,90,10.29,FI,2019-11-12 23:47:15
67,Chokurdakh,70.62,147.9,16.81,97,100,5.41,RU,2019-11-12 23:38:59
68,Mahibadhoo,3.78,72.97,82.78,76,56,10.54,MV,2019-11-12 23:47:15
69,Bonfim,3.36,-59.84,87.67,53,66,11.52,GY,2019-11-12 23:38:52
70,Avarua,-21.21,-159.78,77.0,83,23,18.34,CK,2019-11-12 23:39:35
71,Kabalo,-6.05,26.92,68.0,98,100,3.11,CD,2019-11-12 23:42:54
72,Fairbanks,64.84,-147.72,19.99,85,1,5.48,US,2019-11-12 23:39:03
73,Esperance,-33.86,121.89,57.2,62,0,12.75,AU,2019-11-12 23:39:09
74,Richards Bay,-28.77,32.06,73.92,86,85,28.19,ZA,2019-11-12 23:39:19
75,Vestmannaeyjar,63.44,-20.27,40.77,78,99,29.21,IS,2019-11-12 23:41:43
76,Comodoro Rivadavia,-45.87,-67.48,51.8,93,40,8.05,AR,2019-11-12 23:44:32
77,Samana,0.12,-76.97,75.2,94,90,1.99,EC,2019-11-12 23:47:17
78,Bathsheba,13.22,-59.52,82.4,78,40,11.41,BB,2019-11-12 23:38:45
79,Mingaora,34.78,72.36,46.54,36,97,9.4,PK,2019-11-12 23:47:18
80,Atuona,-9.8,-139.03,80.37,66,0,5.79,PF,2019-11-12 23:38:33
81,Liverpool,53.41,-2.98,46.99,87,40,8.05,GB,2019-11-12 23:45:00
82,Hermanus,-34.42,19.24,64.0,94,17,1.01,ZA,2019-11-12 23:38:41
83,Snezhnogorsk,69.19,33.23,-2.21,77,20,2.24,RU,2019-11-12 23:43:51
84,Faanui,-16.48,-151.75,79.7,76,9,19.71,PF,2019-11-12 23:39:00
85,Leningradskiy,69.38,178.42,26.69,79,100,17.54,RU,2019-11-12 23:40:24
86,Chuy,-33.69,-53.46,67.75,85,88,12.57,UY,2019-11-12 23:38:48
87,Bluff,-23.58,149.07,83.7,35,11,10.11,AU,2019-11-12 23:38:37
88,Newton,42.34,-71.21,32.0,54,75,12.75,US,2019-11-12 23:43:58
89,Boca Do Acre,-8.76,-67.39,79.92,72,55,1.9,BR,2019-11-12 23:47:20
90,Igarka,67.47,86.57,6.22,93,100,12.75,RU,2019-11-12 23:47:20
91,Sao Joao Da Barra,-21.64,-41.05,73.47,85,100,19.93,BR,2019-11-12 23:40:14
92,Mizan Teferi,6.99,35.58,61.81,93,100,3.6,ET,2019-11-12 23:47:21
93,Ust-Kalmanka,52.12,83.31,27.55,77,100,27.6,RU,2019-11-12 23:47:21
94,La Ronge,55.1,-105.3,14.0,66,75,9.17,CA,2019-11-12 23:40:04
95,Awbari,26.59,12.77,55.58,26,0,6.64,LY,2019-11-12 23:41:31
96,Sulangan,11.14,123.72,82.27,73,100,11.16,PH,2019-11-12 23:44:46
97,Erzin,36.95,36.2,63.0,26,0,3.36,TR,2019-11-12 23:47:22
98,Tengelic,46.53,18.71,57.97,74,100,12.48,HU,2019-11-12 23:47:23
99,Inyonga,-6.72,32.06,74.35,50,61,6.46,TZ,2019-11-12 23:47:23
100,Vanimo,-2.67,141.3,83.14,74,84,7.52,PG,2019-11-12 23:41:19
101,Arraial Do Cabo,-22.97,-42.02,71.92,81,98,22.35,BR,2019-11-12 23:38:55
