City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Luderitz,-26.65,15.16,55.4,76,52,9.17,NA,2019-11-08 04:49:33
1,Rikitea,-23.12,-134.97,74.55,82,81,9.91,PF,2019-11-08 04:49:33
2,Bluff,-23.58,149.07,98.49,7,0,15.32,AU,2019-11-08 04:45:49
3,Jumla,29.28,82.18,58.77,30,32,6.35,NP,2019-11-08 04:49:33
4,Puerto Quijarro,-19.0,-57.72,72.66,97,83,2.77,BO,2019-11-08 04:49:33
5,Sete,27.58,86.44,57.74,65,84,6.85,NP,2019-11-08 04:49:34
6,Grand-Santi,4.27,-54.38,72.77,99,69,2.06,GF,2019-11-08 04:49:34
7,Tiarei,-17.53,-149.33,84.2,62,75,8.05,PF,2019-11-08 04:49:34
8,Avarua,-21.21,-159.78,75.2,78,100,9.17,CK,2019-11-08 04:49:34
9,Hervey Bay,-25.3,152.85,86.0,48,0,25.28,AU,2019-11-08 04:49:34
10,Porto Novo,-23.68,-45.44,68.0,88,75,4.7,BR,2019-11-08 04:49:35
11,Georgetown,6.8,-58.16,75.2,100,20,2.24,GY,2019-11-08 04:47:55
12,Kapaa,22.08,-159.32,78.8,65,75,8.05,US,2019-11-08 04:49:35
13,Imbituba,-28.24,-48.67,68.0,100,40,2.24,BR,2019-11-08 04:48:01
14,Barrow,-38.31,-60.23,40.64,93,30,7.96,AR,2019-11-08 04:49:36
15,Mataura,-46.19,168.86,61.05,56,43,5.75,NZ,2019-11-08 04:49:36
16,Vaini,15.34,74.49,75.2,78,40,0.76,IN,2019-11-08 04:49:36
17,Leningradskiy,69.38,178.42,18.95,85,9,17.81,RU,2019-11-08 04:46:42
18,Saskylakh,71.97,114.09,-24.74,98,0,5.95,RU,2019-11-08 04:49:37
19,Aksarka,66.56,67.8,-3.12,83,7,3.44,RU,2019-11-08 04:49:37
20,Hofn,64.25,-15.21,39.56,72,99,8.43,IS,2019-11-08 04:49:37
21,Rapid Valley,44.06,-103.15,32.0,58,1,4.7,US,2019-11-08 04:49:37
22,Busselton,-33.64,115.35,74.41,47,0,2.68,AU,2019-11-08 04:45:51
23,Kodiak,39.95,-94.76,24.8,58,1,4.7,US,2019-11-08 04:49:38
24,Gisborne,-38.66,178.02,69.42,43,0,5.03,NZ,2019-11-08 04:49:38
25,Mandalgovi,45.76,106.27,42.76,33,48,10.51,MN,2019-11-08 04:49:38
26,Hobart,-42.88,147.33,50.0,61,75,12.75,AU,2019-11-08 04:45:02
27,Tasiilaq,65.61,-37.64,35.6,69,100,40.26,GL,2019-11-08 04:49:39
28,Almenara,-16.17,-40.69,67.06,93,58,1.05,BR,2019-11-08 04:49:39
29,Cape Town,-33.93,18.42,59.0,67,4,18.34,ZA,2019-11-08 04:48:07
30,Vagur,61.47,-6.81,40.33,62,60,14.0,FO,2019-11-08 04:49:39
31,Bredasdorp,-34.53,20.04,61.14,70,7,3.78,ZA,2019-11-08 04:45:50
32,Itupiranga,-5.13,-49.33,78.8,94,63,1.34,BR,2019-11-08 04:49:40
33,Baruun-Urt,46.68,113.28,44.49,36,41,9.48,MN,2019-11-08 04:49:40
34,Bongandanga,1.51,21.07,75.29,84,71,2.21,CD,2019-11-08 04:49:40
35,Provideniya,64.42,-173.23,30.2,68,2,26.84,RU,2019-11-08 04:46:23
36,Ancud,-41.87,-73.83,42.1,82,100,2.28,CL,2019-11-08 04:49:41
37,Ribeira Grande,38.52,-28.7,61.95,83,74,4.88,PT,2019-11-08 04:49:41
38,Sarkand,45.41,79.91,40.86,60,29,4.18,KZ,2019-11-08 04:49:41
39,Port Hedland,-20.31,118.58,105.8,19,22,11.41,AU,2019-11-08 04:49:41
40,Tuktoyaktuk,69.44,-133.03,10.4,78,90,18.34,CA,2019-11-08 04:49:41
41,Naze,5.43,7.07,75.45,94,78,1.81,NG,2019-11-08 04:49:42
42,Atuona,-9.8,-139.03,80.58,78,0,14.56,PF,2019-11-08 04:49:42
43,Khor,47.88,134.96,24.69,46,95,15.64,RU,2019-11-08 04:49:42
44,Cherskiy,68.75,161.3,18.28,73,100,5.64,RU,2019-11-08 04:49:43
45,Yarada,17.65,83.27,80.6,54,75,9.17,IN,2019-11-08 04:49:43
